Working_in,involvement_software,Age,Gender,Country,Education,employment_status,Role,Number_of_employees,project_team,Meeting_interrupted,Eye_contact,Asked_question_to_another,Presented_idea,Menial_tasks,Managing,Make_necessary_decisions,Team_values,Aggressive_or_bossy,Excluded_from_social,unfairly_treated,Biggest_obstacle,Harassment,Sexism,Growth_opportunities,Fairly compensated,Start_over,More_challenging_gender,Which_gender?,Anything_else?,Summary_or_contact
Yes,Less than 2 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,501 - 1000,6 - 10,Rarely,Rarely,Never,Never,Never,Untrue,Agree,Agree,no. never,no. never,No,A bit of imposter syndrome,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Neutral,Agree,Agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,18-25,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10 - 100,1 - 5,Rarely,Rarely,Sometimes,Never,Rarely,Untrue,Agree,Strongly agree,no. never,no. never,I haven’t experienced this at all in the industry. I experienced it in academia. where classmates would talk down to me or ask other people questions but not me (even though I often knew the answer).,I haven’t had too many interpersonal obstacles in the industry. The main obstacle I face is imposter syndrome. it’s a struggle to build confidence when there is always so much more to learn. ,I haven't experienced or witnessed this behaviour,I haven't experienced or witnessed this behaviour,Agree,Agree,Strongly agree,Agree,Female,I did well in school - I was involved. had a great GPA. while working multiple jobs. Close to graduation I was talking to the head of my college’s Computer Science department (he was also my professor and boss of one of my student jobs) about post graduation plans. I told him how I had five job offers. and his response was “wow. that’s a lot...it probably helps that you’re a girl”. He may be right but I felt insulted that all of my hard work was overlooked by him because of my gender. ,Yes I am willing to keep in touch in case additional information is needed.
Yes,21+ years,36-45,Female,United States,Masters degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Sometimes,Sometimes,Very often,Very often,Very often,True,Strongly agree,Agree,one or two times,More than four times,Hard to advance. have to work harder to be treated the same. Promised promotions that didn’t happen. ,Difficult to get positions reflecting skill and experience. ,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Disagree,Strongly disagree,Strongly agree,Strongly agree,Female,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Sometimes,Sometimes,Very often,Rarely,Rarely,True,Neutral,Agree,one or two times,one or two times,There's always people that have a perspective that makes it hard to work with them. It's the worst when it's your leadership because you don't have a path towards making it better. ,,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Agree,Agree,Strongly agree,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Sometimes,Rarely,Very often,Rarely,Never,Untrue,Neutral,Strongly agree,one or two times,one or two times,There have been a few times but I left those losers in the dust. to be honest ,Probably the interpersonal. social and communication skills have been harder for me personally than the technical aspects ,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,This whole gender identity thing is making it 100x more difficult for women in software. It’s not like I could have just decided to identify as male and then skipped over all the sexist bullshit. It’s insulting to present our sex to us like it’s some “identity” we can opt into or out of when a lifetime on this planet as a female woman isn’t something I ever chose. wanted or asked for. So tired of seeing gender identity ideology eroding our progress back decades with these harmful ideas that your sex can be chosen freely. or that liking certain hobbies or fashion makes someone neither male or female. Am I non binary by definition because I defy gender roles and stereotypes? And worst of all it’s impacting the usefulness of data like the ones you’re trying to collect right now because it muddies the waters. Sex disaggregated data is vital to understanding our progress and our challenges. Replacing sex with gender identity in forms like these only acts to mask the real issue. which we all know can’t be solved just by self-identifying our way out of it.,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,16-20 years,36-45,Female,United States,Masters degree,Full-time (38+ hours a week),Developer,10 - 100,6 - 10,Rarely,Never,Never,Never,Never,True,Agree,Strongly agree,no. never,one or two times,yes. a promotion that absolutely should have gone to me. went to a newer male colleague that I hired.,"That engineering leadership positions and responsibilities have been designed for men over time. In other words. alpha. workaholic breadwinners with a homemaker to take care of the rest of life's responsibilities at home. 

And it's so ingrained that we don't even question when being an alpha workaholic is necessary or valuable to the job. Instead we ask everyone to try to be more alpha (take up space! be assertive! make decisions quickly!) and more workaholic (inbox zero! wake up at 5am and read management books!) just to match this preconceived notion that that is the only kind of leader that is valuable.

If I don't want to be that kind of leader. it's hard to find a company willing to accept a different kind of leader.",I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Disagree,Strongly agree,Strongly agree,Agree,Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,11-15 years,36-45,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,100.000+,6 - 10,Sometimes,Rarely,Very often,Sometimes,Very often,Untrue,Disagree,Disagree,More than four times,three or four times,I have felt cultural issues and discrepancies in how I am perceived vs others that make me feel like I am inferior.,Career growth and opportunities are limited based on personality and gender,I have witnessed this behaviour,I have experienced this behaviour,Disagree,Disagree,Neutral,Strongly agree,Female,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,6-10 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,1001 - 10.000,6 - 10,Sometimes,Never,Sometimes,Sometimes,Never,Untrue,Agree,Agree,no. never,no. never,It feels like it's harder and takes longer for me to get promoted than my make colleagues. even though I'm qualified.,,I have experienced this behaviour,I have experienced this behaviour,Agree,Disagree,Neutral,Strongly agree,Female. Non-binary,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
Yes,Less than 2 years,26-35,Female,United States,Doctorate,Full-time (38+ hours a week),Computer science researcher,101 - 500,1 - 5,Rarely,Never,Rarely,Never,Sometimes,True,Agree,Agree,no. never,one or two times,,,I have witnessed this behaviour,I have witnessed this behaviour,Neutral,Agree,Strongly agree,Strongly agree,Female. Non-binary,,no thank you
Yes,6-10 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Architect,1001 - 10.000,11 - 15,Very often,Sometimes,Very often,Very often,Rarely,Untrue,Disagree,Neutral,More than four times,More than four times,yes. the usual female in tech industry complaints,Supervisor who took credit for work. excluded me from meetings. and refused to hand over key assignments,I have experienced and witnessed this behaviour,I have experienced and witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,Other men need to call out offenders. Complaints are only taken seriously when men corroborate the account.,no thank you
Yes,2-5 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,501 - 1000,6 - 10,Rarely,Rarely,Sometimes,Rarely,Never,True,Agree,Strongly agree,no. never,no. never,I’ve been treated very very well. I think this survey is digging for answers and is incredibly biased. And I agree with the point you’re trying to prove. ,,I have witnessed this behaviour,I have witnessed this behaviour,Strongly agree,Strongly agree,Strongly agree,Agree,Non-binary,Your survey is not good. ,no thank you
Yes,Less than 2 years,26-35,Female,United States,Bachelors degree,Full-time (38+ hours a week),Developer,10.000 - 100.000,16 - 20,Sometimes,Very often,Very often,Very often,Very often,Untrue,Agree,Strongly agree,no. never,no. never,yes. I’ve been stopped midsentence in meetings by my manager. I’ve been told to redo work that was functional and well designed by someone who hasn’t reviewed it. That person was backed up by my manager even though they hadn’t looked at it. I’ve been given tickets that are well beneath my skill level. I’ve been removed from projects/assignments because I’ve voiced unrealistic deadlines. I’ve been told I’m starting drama when I voice in confidence to my manager my concerns with people talking down to me/berating me in public slack channels for issues that were their own fault. I have not been converted to full time not because my dev skills were bad. or that I am not exceeding expectations in terms of work performance. but because I get too “overwhelmed”—something that none of my male colleagues were told even though they routinely yelled. were negative/insulting/derogatory towards the business and I was not. I’m so fortunate that I dont experience this on the team I am on now. but all of my previous teams were like this. ,People in this industry tend to have much lower expectations for what my base level of knowledge is. as a female software developer. I can’t tel you the number of times a colleague has said something like “I wouldn’t expect you to understand” when it’s a topic that I am in fact very experienced and knowledgeable in. It seems that at times I can push past this and prove myself. if given enough time to prove myself. But I have definitely noticed that my male colleagues of similar experience levels are not treated this way. The assumption is they know what to do and what you’re talking about until they prove they don’t. The assumption for me has been the opposite. ,I have experienced this behaviour,I have experienced this behaviour,Neutral,Strongly agree,Strongly agree,Strongly agree,Female,,Yes I would like to obtain a summary of the results and keep in touch in case additional information is needed
